class_name,sdk_name
com.bwinlabs.betdroid_lib.wrapper_handler.webview.ParentWebChromeClient,BetDroid Library
com.bwinlabs.betdroid_lib.portal.PromotionsPageController$2,BetDroid Library
com.bwinlabs.betdroid_lib.web.chromeclient.ExternalWindowWebChromeClient,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.WebCasinoGamesActivity$3,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.HomeActivityBWrapper$2,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.HomeActivitySWrapper$2,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.HomeActivityCWrapper$1,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.SelfStandingWebViewActivity$2,BetDroid Library
com.bwinlabs.betdroid_lib.ui.activity.WebCasinoGamesActivity$2,BetDroid Library
io.bidmachine.core.Utils$a,BidMachine SDK
io.bidmachine.core.Utils$1,BidMachine SDK
io.bidmachine.core.Utils$ibu5KWKyEh3M,BidMachine SDK
com.facebook.bidding.e.j.a,BiddingKit SDK
com.bidstack.mobileAdsSdk.internal.r$b,Bidstack
com.bidstack.mobileadssdk.internal.nb,Bidstack
com.bidstack.ingame.webview.IGWebView$1,Bidstack
sg.bigo.ads.ad.interstitial.a.a.c$1$1,Bigo Ads
com.iab.omid.library.bigosg.g.c,Bigo Ads
com.iab.omid.library.bigosg.publisher.b,Bigo Ads
sg.bigo.live.web.nimbus.z,Bigo Ads
com.billdesk.sdk.PaymentWebView,Billdesk SDK
com.android.billingclient.api.n0,BillingClient
com.bitmovin.player.r1.r,Bitmovin Player SDK
com.bitmovin.player.ui.web.c.c,Bitmovin Player SDK
com.bitmovin.player.integration.tub.CompanionAdRenderer,Bitmovin Player SDK
com.bitmovin.player.ui.web.c.d,Bitmovin Player SDK
com.bitmovin.player.ui.web.b.d,Bitmovin Player SDK
com.bitmovin.player.util.i,Bitmovin Player SDK
com.blueshift.inappmessage.InAppMessageViewHTML,Blueshift SDK
com.blueshift.inappmessage.InAppManager$16,Blueshift SDK
com.blueshift.inappmessage.InAppManager$11,Blueshift SDK
bolts.WebViewAppLinkResolver$b,Bolts Framework SDK
bolts.WebViewAppLinkResolver$2,Bolts Framework SDK
bolts.p$b,Bolts Framework SDK
io.branch.referral.n,Branch
io.branch.referral.t,Branch
io.branch.referral.b0$a,Branch
io.branch.referral.j,Branch
io.branch.referral.c,Branch
io.branch.referral.a,Branch
io.branch.referral.k0,Branch
io.branch.referral.b0,Branch
io.branch.referral.o,Branch
io.branch.referral.a0,Branch
io.branch.referral.o$a,Branch
io.branch.referral.v,Branch
io.branch.referral.h,Branch
io.branch.referral.r$a,Branch
io.branch.referral.p$a,Branch
io.branch.referral.q$a,Branch
io.branch.referral.d,Branch
io.branch.referral.m,Branch
io.branch.referral.t$a,Branch
io.branch.referral.l$a,Branch
io.branch.referral.q,Branch
io.branch.referral.v$a,Branch
io.branch.referral.g,Branch
io.branch.referral.m$a,Branch
io.branch.coroutines.DeviceSignalsKt$getUserAgentSync$2,Branch
io.branch.referral.s,Branch
io.branch.referral.y$a,Branch
io.branch.referral.j$a,Branch
io.branch.referral.TxUX,Branch
io.branch.referral.e,Branch
io.branch.referral.u,Branch
io.branch.referral.f,Branch
io.branch.referral.p,Branch
io.branch.referral.u$a,Branch
io.branch.referral.i,Branch
io.branch.referral.r,Branch
io.branch.referral.y,Branch
io.branch.referral.x$a,Branch
io.branch.referral.BranchViewHandler,Branch
io.branch.referral.DeviceInfo$1,Branch
io.branch.referral.s$a,Branch
io.branch.referral.l,Branch
io.branch.referral.a0$a,Branch
io.branch.referral.k,Branch
com.buzzvil.buzzad.browser.BuzzAdWebChromeClient,BuzzAd SDK
com.buzzvil.buzzad.benefit.core.network.ParamsBuilder,BuzzAd SDK
com.buzzvil.locker.LandingOverlayActivity,BuzzAd SDK
com.buzzvil.locker.VideoOverlayActivity,BuzzAd SDK
com.bytedance.sdk.openadsdk.l.q,ByteDance SDK
com.bytedance.sdk.openadsdk.l.t,ByteDance SDK
com.bytedance.sdk.openadsdk.o.aa,ByteDance SDK
com.bytedance.android.ad.adtracker.g.h$2,ByteDance SDK
com.bytedance.feelgood.a,ByteDance SDK
com.bytedance.globalpayment.a.a.a.e.a.a,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.rXP,ByteDance SDK
com.bytedance.i18n.magellan.spark_kit.web.b,ByteDance SDK
com.bytedance.nproject.web.impl.ui.WebViewFragment$w,ByteDance SDK
com.bytedance.nproject.ugc.post.impl.ui.edit.widget.PostWebContainer,ByteDance SDK
com.bytedance.sdk.openadsdk.l.n,ByteDance SDK
com.bytedance.sdk.open.tiktok.ui.TikTokWebAuthorizeActivity,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.BRV,ByteDance SDK
com.bytedance.sdk.openadsdk.n.o,ByteDance SDK
com.bytedance.sdk.openadsdk.view.banner.TTShareitBannerAdView,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.LX,ByteDance SDK
com.bytedance.sdk.openadsdk.l.r,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.gAw,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.Jsr,ByteDance SDK
com.iab.omid.library.bytedance2.publisher.b,ByteDance SDK
com.bytedance.sdk.openadsdk.n.aa,ByteDance SDK
com.bytedance.sdk.openadsdk.o.ab,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.ac,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.ab,ByteDance SDK
com.bytedance.sdk.openadsdk.l.x,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.hfB,ByteDance SDK
com.bytedance.sdk.component.widget.ssadn.SSWebView,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.yVj,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.JFi,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.Sk,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.DLH,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.a0,ByteDance SDK
com.bytedance.sdk.openadsdk.activity.TTWebsiteActivity,ByteDance SDK
com.bytedance.sdk.component.widget.SSWebView,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.z,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.u,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.keX,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.yQ,ByteDance SDK
com.bytedance.sdk.gabadn.activity.TTWebsiteActivity,ByteDance SDK
com.bytedance.sdk.open.tiktok.authorize.ui.a,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.DV,ByteDance SDK
com.bytedance.sdk.openadsdk.l.aa,ByteDance SDK
com.bytedance.sdk.open.tiktok.authorize.ui.BaseWebAuthorizeActivity,ByteDance SDK
com.bytedance.sdk.openadsdk.utils.aa,ByteDance SDK
com.bytedance.sdk.openadsdk.l.s,ByteDance SDK
com.bytedance.sdk.openadsdk.l.y,ByteDance SDK
com.bytedance.sdk.open.aweme.authorize.ui.BaseWebAuthorizeActivity,ByteDance SDK
com.bytedance.sdk.open.tiktok.b.c.a,ByteDance SDK
com.calldorado.util.DeviceUtil,Calldorado SDK
com.calldorado.ui.dialogs.DialogHandler,Calldorado SDK
com.fsn.cauly.Y.bo,Cauly
com.fsn.cauly.Y.f0$a,Cauly
com.fsn.cauly.CaulySpreadUtil,Cauly
com.cellrebel.sdk.workers.g$a,CellRebel Android SDK
com.cellrebel.sdk.workers.e,CellRebel Android SDK
com.cellrebel.sdk.workers.i$a,CellRebel Android SDK
com.cellrebel.sdk.workers.e$$ExternalSyntheticLambda0,CellRebel Android SDK
com.cellrebel.sdk.workers.CollectPageLoadMetricsWorker$a,CellRebel Android SDK
com.cellrebel.sdk.workers.CollectDeviceInfoWorker,CellRebel Android SDK
com.centurygame.sdk.utils.SystemUtil,Century Games SDK
com.centurygame.sdk.utils.SystemUtil$3,Century Games SDK
com.chartboost.sdk.impl.ae,ChartBoost
com.chartboost.sdk.impl.vc,ChartBoost
com.chartboost.sdk.internal.clickthrough.EmbeddedBrowserActivity$e,ChartBoost
com.chartboost.sdk.impl.p,ChartBoost
com.chartboost.sdk.h,ChartBoost
com.chartboost.sdk.impl.at,ChartBoost
com.chartboost.sdk.impl.i,ChartBoost
com.chartboost.sdk.impl.as,ChartBoost
com.chartboost.sdk.impl.n8,ChartBoost
com.chartboost.sdk.impl.hb,ChartBoost
com.chartboost.sdk.impl.cd,ChartBoost
com.chartboost.heliumsdk.impl.tm6,ChartBoost Helium
com.chartboost.heliumsdk.impl.o53,ChartBoost Helium
com.chartboost.heliumsdk.impl.y$c,ChartBoost Helium
